sentence,count_words,count_capitalized_words,proportion_capitalized_words,count_capitalized_chars,proportion_capitalized_chars,subjectivity
@tmnobre Por nada! Eu tenho um notebook Dell e já passei muita dor de cabeça com ele.,17.0,3.0,0.1764705882352941,3.0,0.0352941176470588,1.0
Gostei de um vídeo @YouTube de @eloisasemh http://youtu.be/2gZjHq0pQQY?a  UNBOXING NOTEBOOK DELL A40,14.0,7.0,0.5,29.0,0.29,0.0
"@Irma_Zuleide notebook gosto da marca dell. Sites: o próprio site da dell, americanas, magazine luiza",15.0,2.0,0.1333333333333333,3.0,0.0297029702970297,1.0
Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC,15.0,14.0,0.9333333333333332,18.0,0.1714285714285714,0.0
VOLTA PRA MIM NOTEBOOK DA DELL SEU LINDO SINTO FALTA DE APERTAR SUAS TECLAS,14.0,14.0,1.0,62.0,0.8266666666666667,1.0
"VCM II ESCANER DE DIAGNOSTICO ORIGINAL FORD, MERCURY, LINCOLN U$ 550. *OPCIONAL NOTEBOOK DELL U$ 180. Plazo de... http://fb.me/6OUN7fMqB",20.0,14.0,0.7,79.0,0.5808823529411765,0.0
Comprar memória pro notebook? Impossível! O jeito é reclamar da Dell no @ReclameAQUI: http://www.reclameaqui.com.br/14509101/dell-computadores-do-brasil/impossivel-adicionar-memoria-ao-notebook/ … @DellnoBrasil @Dell @Dellajuda,21.0,7.0,0.3333333333333333,13.0,0.0572687224669603,1.0
"ninguém ai quer comprar um notebook da dell, i5 não?",10.0,0.0,0.0,0.0,0.0,0.0
Gostei de um vídeo @YouTube http://youtu.be/wvAH8s5UQHs?aNVIDIA … Offboard-Como ativar placa de video dedicada notebook Dell,17.0,7.0,0.4117647058823529,17.0,0.1370967741935483,0.0
Tinha um notebook Dell com falantes JBL e era um show. Troquei por um HP com Beats... FUÉN,18.0,7.0,0.3888888888888889,12.0,0.1333333333333333,1.0
Alguém tem um carregador de notebook da dell disponível ai pra doação? o meu já era...,16.0,1.0,0.0625,1.0,0.0116279069767441,0.0
Dell formatou meu notebook de graça via suporte remoto,9.0,1.0,0.1111111111111111,1.0,0.0185185185185185,0.0
Que merda de notebook esse Dell de bosta,8.0,2.0,0.25,2.0,0.05,1.0
Fonte carregadora notebook Dell - Alguém tem pra vender?,9.0,3.0,0.3333333333333333,3.0,0.0535714285714285,0.0
"Vou te trocar, notebook. Foi muito bom esses 5 anos q passamos juntos, love u mas n da p ser assim #dell #2011 Link permanente da imagem incorporada",28.0,3.0,0.1071428571428571,3.0,0.0202702702702702,1.0
"Estou extremamente insatisfeita com meu notebook Dell novo, pois a placa wireless Intel 7260 conectividade ruim @dellnoBrasil @intelbrasil",18.0,4.0,0.2222222222222222,4.0,0.0289855072463768,1.0
Gostei de um vídeo @YouTube http://youtu.be/88yjAQgkn4k?a[REVIEW …] Notebook Dell Inspiron 14 Série 5000 (5447),16.0,8.0,0.5,15.0,0.1351351351351351,0.0
"A Dell viu meu nome e me vendeu o notebook com defeito, né possível! Um i5, 6GB de memória, q não rende o q uns i3 2GB rendem por ai ><",31.0,4.0,0.1290322580645161,7.0,0.0518518518518518,1.0
shauhsauhs comprei meu notebook deus e pai dell grilado,9.0,0.0,0.0,0.0,0.0,0.0
@hey_mika Acredite a Dell é uma das poucas marcas  de notebook que ainda prestam. Tinha um notebook da HP que obsensor Wi Fi derretia...,24.0,6.0,0.25,7.0,0.0514705882352941,1.0
"@hey_mika e comprar um adaptador usb, a Dell falou pra mandar o notebook pra garantia, mas ela não garantia o conserto e etc ¯\_(ツ)_/¯",26.0,1.0,0.0384615384615384,1.0,0.0074626865671641,0.0
"Meu notebook atual veio com antivírus McAfee. MEU DEUS COMO É RUIM! Por que a Dell trocou a Norton por eles, hein?",22.0,9.0,0.4090909090909091,21.0,0.1842105263157894,1.0
Notebook Ultrafino Dell Vostro V14T-5470-A20 com Intel Core i5 4GB (2GB de Memória Dedicada)... http://fb.me/7xxI5q6DT,16.0,13.0,0.8125,18.0,0.1525423728813559,0.0
Gostei de um vídeo @YouTube http://youtu.be/wvAH8s5UQHs?aNVIDIA … Offboard-Como ativar placa de video dedicada notebook Dell,17.0,7.0,0.4117647058823529,17.0,0.1370967741935483,0.0
"Dell Latitude E6510 Notebook Computer, Intel ... http://twib.in/l/9jjyGrBLrGE  #laptop #corei7 , https://twibble.io",12.0,7.0,0.5833333333333334,11.0,0.0956521739130434,0.0
"@DellnoBrasil Olá,comprei uma bateria nova para meu notebook Dell inspiron N4050. Gostaria de saber qual o tempo da primeira carga.Obrigado!",22.0,6.0,0.2727272727272727,7.0,0.05,0.0
Adicionei um vídeo a uma playlist @YouTube http://youtu.be/qwQ37Rmumxc?aPeixe … Dicas - Unboxing Notebook Dell Vostro 5470 a60,19.0,9.0,0.4736842105263157,11.0,0.0873015873015873,0.0
"NOTEBOOK DELL INSPIRON 5558 I7-5500U 16GB RAM 1TB DISCO 15.6"" 4GB-NVIDIA W8.1 AZUL PRECIO OFERTA $1560 DOLARES http://highpcsolutions.com/1/post/2015/09/notebook-dell-inspiron-5558-i7-5500u-16gb-ram-1tb-disco-156-4gb-nvidia-w81-azul-precio-oferta-1560-dolares.html …",23.0,15.0,0.6521739130434783,66.0,0.2481203007518796,0.0
O novo 2 em 1 Dell Inspiron 15 Série 7000 combina a versatilidade de um tablet com a produtividade de um notebook: http://buff.ly/1Q65phH,24.0,4.0,0.1666666666666666,6.0,0.0437956204379562,0.0
Vendo notebook Dell Vostro  Memória: 4gb DDR 3 HD: 500Gb Processador: Core i3 ** entrada HDMI ** 4 usb 3.0 **... http://fb.me/1VoIQpP7R,24.0,11.0,0.4583333333333333,21.0,0.1555555555555555,0.0
A Dell é uma empresa de soluções tecnológicas e criou o notebook 2 em 1 que pode ser aquele presente perfeito. O... http://fb.me/4adCzX8B3,24.0,2.0,0.0833333333333333,6.0,0.0434782608695652,0.0
"Esse notebook da Dell tem uma tela LINDA, mas dá problema toda hora em driver de vídeo e é o que eu mais uso.",24.0,3.0,0.125,7.0,0.0642201834862385,1.0
"Quero comprar um notebook novo, esse aqui não dá mais, plmdds. Comprar da Dell foi a PIOR decisão que eu fiz, sério.",22.0,4.0,0.1818181818181818,7.0,0.0603448275862069,1.0
"Notebook Dell I15-5548-B20 Intel Core i7 5ª geração por R$3.099,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-por-r3-09900-2/ …  Link permanente da imagem incorporada",22.0,7.0,0.3181818181818182,8.0,0.0375586854460093,0.0
"@Pirulla25 eu doaria para ajudar a comprar um notebook pra vc, R$3000 da pra comprar um Dell top, com placa de video e 8gb de ram",26.0,2.0,0.0769230769230769,3.0,0.0232558139534883,0.0
"@DellnoBrasil compraria fácil um celular da Dell, depois do notebook que comprei amei",13.0,2.0,0.1538461538461538,3.0,0.0352941176470588,1.0
"Dell Latitude E6410 14"" Notebook Barbone, NO RAM,  HDD or CPU ,  MS528 …http://impressive-beautiful-products.buy2day.info/buy/01/?query=321852298960 …  Link permanente da imagem incorporada",22.0,11.0,0.5,19.0,0.1005291005291005,0.0
"Alguem me indica marcas boas de notebook? (alem de dell, asus, apple)",12.0,1.0,0.0833333333333333,1.0,0.0144927536231884,0.0
Vendo Notebook dell vostro semi.novo.,6.0,2.0,0.3333333333333333,2.0,0.054054054054054,0.0
Planejando dar as famosas Pedaladas Fiscais para adquirir um notebook dell fodasso,12.0,3.0,0.25,3.0,0.0365853658536585,0.0
"Notebook Dell Inspiron +Mesa para Computador R$ 2.578,00 em até 10x ou R$ 2.320,20 à vista https://www.magazinevoce.com.br/magazinemrsiva/p/computadores-e-tablets/1503365/notebook-dell-inspiron-15-i15-3543-b30-intel-core-i5-4gb-1tb-mesa-para-computadorescrivaninha/122600/ …  Ver foto",27.0,6.0,0.2222222222222222,8.0,0.028169014084507,0.0
Notebook dell processador i5 - 8gb de memoria - hd 320 gb - 400 reais,15.0,1.0,0.0666666666666666,1.0,0.0144927536231884,0.0
"Oferta no @no @submarino: Intel Core i3 • 4GB 1TB”. R$1.614,05 no boleto http://www.submarino.com.br/produto/123055562/notebook-dell-inspiron-i14-3442-b10-intel-core-i3-4gb-1tb-tela-led-14-windows-8.1-preto?opn=AFLNOVOSUB&epar=b2wafiliados&loja=03&chave=AFL-150831-61562&franq=AFL-03-135757 …",22.0,8.0,0.3636363636363636,24.0,0.0821917808219178,0.0
"Notebook Dell Inspiron 14 I14-3442-B10 Intel Core R$ 1.699,00 em 10x ou R$ 1.614,05 à vista https://www.magazinevoce.com.br/magazinemrsiva/p/notebook-dell-inspiron-14-i14-3442-b10-intel-core-i3-4gb-1tb-windows-81-led-14-hdmi/116679/ …  Link permanente da imagem incorporada",30.0,8.0,0.2666666666666666,10.0,0.0366300366300366,0.0
"Notebook Dell Inspiron 14 I14 3443 B30 Intel Core R$ 2.099,00 em até 10x de R$ 209,90 https://www.magazinevoce.com.br/magazinemrsiva/p/computadores-e-tablets/1503365/notebook-dell-inspiron-14-i14-3443-b30-intel-core-i5-4gb-1tb-windows-81-led-14-hdmi/119430/ …  Ver foto",27.0,8.0,0.2962962962962963,10.0,0.037174721189591,0.0
"É fácil, atrás de um notebook da Dell ou Iphone, julgar alguém que rala o dia todo para sustentar uma família e mostrar o futebol a filha.",27.0,2.0,0.074074074074074,2.0,0.0144927536231884,1.0
alo @dell o notebook da @nicollechidiac ta com problema o modelo é esse aqui  Link permanente da imagem incorporada,19.0,1.0,0.0526315789473684,1.0,0.008695652173913,1.0
"O Inspiron 14 5000 Series é fino e conta com a 4ª geração de processadores Intel® Core™ para que seus jogos, seus... http://fb.me/6JgOH0s98",24.0,5.0,0.2083333333333333,8.0,0.0575539568345323,0.0
Nova Atualização! Dell relança o notebook poderoso Alienware 18 http://bit.ly/1KzbEdD  #RT aqui galera!,14.0,6.0,0.4285714285714285,9.0,0.087378640776699,0.0
Notebook de 3mil dar problema para conectar Wi-Fi aff maria Dell,11.0,4.0,0.3636363636363636,4.0,0.0625,1.0
Acho que nessa semana o técnico da Dell vem buscar o notebook e trazer o novo -amém-,17.0,2.0,0.1176470588235294,2.0,0.0238095238095238,1.0
"Dell Latitude E6500 15.4"" Notebook …http://special-online-deals-impressive-offers.newoffers.info/buy/01/?query=141761072897 …  Link permanente da imagem incorporada",16.0,5.0,0.3125,5.0,0.0304878048780487,0.0
Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … via @Olhar Digital,20.0,6.0,0.3,6.0,0.029126213592233,0.0
Análise: notebook Dell XPS 13 [vídeo],6.0,3.0,0.5,5.0,0.1351351351351351,0.0
Semana Dell na Submarino: Veja ofertas de Notebook imperdíveis http://quenotebookcomprar.com.br/semana-dell-na-submarino-veja-ofertas-de-notebook-imperdiveis/ …,13.0,5.0,0.3846153846153846,5.0,0.03125,0.0
Bateria do meu notebook #Dell Inspiron N4050 já era. Depois de 4 longos anos.,14.0,5.0,0.3571428571428571,5.0,0.0649350649350649,0.0
"SOS DEALS >> http://ift.tt/1VjvmNP  #77714 Dell Latitude E6420 Notebook laptop computer - HD 14"" - Intel Core i5 …  Ver foto",22.0,11.0,0.5,20.0,0.1612903225806451,0.0
Meu notebook ficou zoado desde que a dell instalou o negócio de reconhecer rosto. Que ódio!,16.0,2.0,0.125,2.0,0.0219780219780219,1.0
@olhardigital Boa edição ^^ Mas a minha escolha para o notebook seria a da Dell. ^^,16.0,3.0,0.1875,3.0,0.036144578313253,1.0
Vendo   notebook Dell core i7 2.9Ghz em otimo estado de funcionamento e conservação R$ 1.400 Troco em TV 24 Pol... http://fb.me/7rG3oLp1F,24.0,7.0,0.2916666666666667,11.0,0.0802919708029197,0.0
alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,9.0,0.0,0.0,0.0,0.0,0.0
Intel Core I3: Ofertas incríveis de Notebook Dell Intel Core I3.  de 177 produtos com ótimos… http://dlvr.it/C0JZ85  #MercadoLivre,19.0,11.0,0.5789473684210527,14.0,0.1076923076923077,0.0
"@SpotifyAjuda Olá! Uso a versão 1.0.13.108 gcd94e7db, dipositivo notebook dell windonws 8. Obrigada pela ajuda!",18.0,4.0,0.2222222222222222,5.0,0.045045045045045,0.0
um dia quem sabe!!! http://fb.me/7sV9NTiV3,6.0,1.0,0.1666666666666666,4.0,0.0952380952380952,0.0
Aguardando até agora a Assistência 24h da @Dell #DellBrazil. Você tem seus prazos para cumprir e seu notebook parado até quando?,21.0,5.0,0.238095238095238,6.0,0.046875,1.0
Olha que coisa mais linda  mais cheia de graça :3  Thiago Boanerges Josemar Lopes http://fb.me/6XxK7cPgX,16.0,6.0,0.375,9.0,0.0865384615384615,0.0
"Notebook Dell I15-5548-B20 Intel Core i7 5ª geração por R$3.099,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-por-r3-09900/ …  Link permanente da imagem incorporada",22.0,7.0,0.3181818181818182,8.0,0.0379146919431279,0.0
Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … via @Olhar Digital,20.0,6.0,0.3,6.0,0.029126213592233,0.0
"Dell Latitude E6320 13″ Notebook PC – Intel C... http://twib.in/l/9jKrp765kXE  #laptop #corei7 , https://twibble.io   Link permanente da imagem incorporada",20.0,8.0,0.4,12.0,0.0774193548387096,0.0
"Só pra terminar queria pedir pra dell me mandar outro notebook, esse meu ta velho",15.0,1.0,0.0666666666666666,1.0,0.0123456790123456,0.0
Muito bom....,2.0,1.0,0.5,1.0,0.0769230769230769,0.0
"...o modelo possui ainda 32 GB de memória RAM..."" oO!!! , Dell traz de volta notebook Alienware 18 http://olhardigital.uol.com.br/pro/noticia/dell-traz-de-volta-notebook-de-alta-performance-alienware-18/50843 … @olhardigital",24.0,4.0,0.1666666666666666,8.0,0.0357142857142857,0.0
Dell Inspiron 1545 Windows 7 Pentium Dual-Core 2.10GHz 3GB Notebook …http://niche-products-awe-inspiring-deal.newoffers.info/buy/01/?query=141758243045 …  Link permanente da imagem incorporada,21.0,10.0,0.4761904761904761,12.0,0.0625,0.0
Retweeted Olhar Digital (@olhardigital):,5.0,3.0,0.6,3.0,0.075,0.0
Isso sim é um notebook. Mas poderia ser mais fino e leve. http://fb.me/44YKLpZz3,14.0,3.0,0.2142857142857142,6.0,0.075,1.0
Eu preciso Gustavo Oliveira http://fb.me/4eb61Gbya,6.0,4.0,0.6666666666666666,4.0,0.08,0.0
"Sonhei com meu pai noite passada. Ele me perguntava as melhores marcas de notebook, após ver o meu. Então respondi: Apple, Dell e Sony. Lol",25.0,7.0,0.28,7.0,0.0503597122302158,0.0
"Dell traz de volta notebook de alta performance Alienware 18: De acordo com a Dell, o novo Alienware 18 Ã© o n... http://bit.ly/1K92MwQ",24.0,6.0,0.25,8.0,0.0592592592592592,0.0
Olhar Digital: Dell traz de volta notebook de alta performance Alienware 18 http://fb.me/3N4prMQAe,14.0,5.0,0.3571428571428571,8.0,0.0816326530612244,0.0
"Notebook Dell I15-5548-B20 Intel Core i7 5ª geração 8GB 1TB por R$3.199,00 -  http://www.descontonanet.com/cupom/notebook-dell-i15-5548-b20-intel-core-i7-5a-geracao-8gb-1tb-por-r3-19900/ …  Link permanente da imagem incorporada",24.0,9.0,0.375,12.0,0.052863436123348,0.0
"Veja isso: Dell traz de volta notebook de alta performance Alienware 18: De acordo com a Dell, o novo Alienwar... http://bit.ly/1IkwM1c",22.0,7.0,0.3181818181818182,8.0,0.0592592592592592,0.0
Ahh...meu notebook Dell tem apenas 1 mês de comprado!,10.0,2.0,0.2,2.0,0.0377358490566037,0.0
A pessoa compra um notebook e é obrigado a comprar um mouse...pq o touchpad não vale bosta! CCE >>>>>>> DELL,21.0,2.0,0.0952380952380952,8.0,0.074074074074074,1.0
Perguntar não ofende: por quê a Dell vende um notebook com sistema operacional Ubuntu MAIS CARO que o mesmo notebook com Windows 8.1 ? ?,24.0,6.0,0.25,12.0,0.088235294117647,1.0
alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,9.0,0.0,0.0,0.0,0.0,0.0
Nas opções do laptop mag indicaram o Dell XPS 13. Aquele notebook é horroroso em questões de design,18.0,4.0,0.2222222222222222,6.0,0.0606060606060606,1.0
qual é a marca de notebook que não é mais virgem? aquela que já Dell,15.0,1.0,0.0666666666666666,1.0,0.0147058823529411,0.0
Extra – Promoção Incrível 24% OFF no Notebook Dell Inspiron i14-3442-B10 Intel Core i3 4GB… http://www.cupomdesconto.blog.br/coupon/extra-promocao-incrivel-24-off-no-notebook-dell-inspiron-i14-3442-b10-intel-core-i3-4gb-1tb-tela-led-14-windows-8-1-preto/ …  Link permanente da imagem incorporada,25.0,12.0,0.48,15.0,0.0508474576271186,0.0
"Glr, será que eu compro? http://www.dell.com/br/p/inspiron-14-5458-laptop/pd?oc=cai5458w8s1632258bbrp022w&model_id=inspiron-14-5458-laptop … Tem alguma marca de notebook ""não-top"" (= barata) que vocês recomendem pra eu pesquisar?",24.0,2.0,0.0833333333333333,2.0,0.0087336244541484,0.0
@pontofrio meu sonho era esse preço nesse Dell. http://www.pontofrio.com.br/Informatica/Notebook/Notebook-Inspiron-14--5447-A10--Intel-Core-i5-4G-14--Vermelho-Windows-8.1---Dell-5079412.html?recsource=busca-int&rectype=busca-57 … Obs: Foto com o preço edi,22.0,13.0,0.5909090909090909,14.0,0.0549019607843137,0.0
Cargadores Originales Para Notebook:  -Acer -Asus -Dell -HP -Lenovo -Sony -Samsung -Toshiba -P. Bell -MAC  Link permanente da imagem incorporada,20.0,15.0,0.75,19.0,0.1319444444444444,0.0
"Dell 11.6"" (, Intel Pentium Dual Core, 2 GHz, 3 GB) Notebook http://ift.tt/1JhWZ21   Link permanente da imagem incorporada",19.0,10.0,0.5263157894736842,14.0,0.1147540983606557,0.0
"E o carregador de notebook da Dell, quem tem pra apoia?",11.0,1.0,0.0909090909090909,2.0,0.0363636363636363,0.0
"[liquidae] Notebook Dell Inspiron 14R-5437-A30 (14""-i5-6GB-1TB-GT740M) - R$ 1499,00: http://www.liquidae.com.br/dell-ree...ail&utm_term=0_18700b5b14-085aaee324-76613053 … Apesar… http://bit.ly/1MRH1lE",19.0,9.0,0.4736842105263157,18.0,0.09,0.0
"@susiquirino   Olá, Poatardi! Opa, vemk http://pingu.im/1NztE9v  ;)",8.0,4.0,0.5,5.0,0.0746268656716417,0.0
Alguém tem um cabo da Dell pra notebook pra me doar??,11.0,2.0,0.1818181818181818,2.0,0.0377358490566037,0.0
Dell Vostro 14 3445 Notebook (APU Dual Core E1/ 4GB/ 500GB/ Ubuntu) at price Rs18700.0 http://goo.gl/fb/rJYaL3,18.0,12.0,0.6666666666666666,18.0,0.1636363636363636,0.0
alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,9.0,0.0,0.0,0.0,0.0,0.0
"Dell Latitude E6410 Notebook PC, Intel Core i... http://twib.in/l/MdA7ELB878M  #laptop #corei7 , https://twibble.io   Link permanente da imagem incorporada",19.0,9.0,0.4736842105263157,15.0,0.0967741935483871,0.0
@Manhereno Esse aqui é uma versão atualizada do meu. Vem com processador da 5ª geração do i5 http://www.submarino.com.br/produto/123055597/notebook-dell-inspiron-i14-5448-b10-intel-core-i5-4gb-2gb-de-memoria-dedicada-1tb-led-14-windows-8.1 …,23.0,3.0,0.1304347826086956,3.0,0.0124481327800829,0.0
Tenha um notebook leve e compacto com as melhores tecnologias. O Dell Inspiron 3442-B10 além de consumir menos... http://fb.me/6I2OIfoPz,20.0,5.0,0.25,9.0,0.0661764705882353,0.0
"#Repost @shoppingleblon ・・・ Bom dia, workaholics! Bala de menta #Starbucks sobre notebook #Dell na #FastShop;... http://fb.me/4fiWfK5hL",17.0,7.0,0.4117647058823529,10.0,0.074074074074074,0.0
Notebook Latitude Dell teve hd substituido e formatado com sucesso windows 7 64bit.  um cliente satisfeito.,16.0,3.0,0.1875,3.0,0.02803738317757,1.0
"Notebook com ou sem teclado numérico? Samsung ou Dell, respectivamente",10.0,3.0,0.3,3.0,0.0428571428571428,0.0
"Tenta voltar seu notebook da dell do windows 10 para o windows 8.1, VC vai ver q bosta é isso. Tela petra 5 horas.  Link permanente da imagem incorporada",30.0,4.0,0.1333333333333333,5.0,0.0326797385620915,1.0
"Tipo, se eu entro na pag do meu notebook na dell e ovu na parte de drivers, ele fala que é compativel com win10 e me manda pra essa pag",30.0,1.0,0.0333333333333333,1.0,0.0074074074074074,0.0
Nunca mais compro notebook da dell,6.0,1.0,0.1666666666666666,1.0,0.0294117647058823,1.0
alguém aí tem notebook da DELL? é a melhor marca mesmo?,11.0,1.0,0.0909090909090909,4.0,0.0727272727272727,0.0
"eu olho pro meu notebook agora e me amaldiçôo por não ter comprado um asus, acer ou um dell",19.0,0.0,0.0,0.0,0.0,1.0
Venho por meio desse Tweet q o notebook da @Dell é o melhor,13.0,3.0,0.2307692307692307,3.0,0.0508474576271186,1.0
"Notebook da Positivo é péssimo, credo! Melhor notebook é Dell",10.0,4.0,0.4,4.0,0.0655737704918032,1.0
"SUPER NOTEBOOK 2 EM 1 DELL - Aproveitem super oportunidade zero lacrado na caixa preço a combina oportu...: R$ 0,00 - http://classificados.infonet.com.br/ClassificadosApp/publico/retrieveAnuncioPortal.jsp?CdAnuncio=528887 …",30.0,8.0,0.2666666666666666,27.0,0.1210762331838565,0.0
"#schoolsupplies Dell Latitude CPi 13.3"" Notebook http://dlvr.it/BwwW8s  #onsale #greatdeals  Link permanente da imagem incorporada",16.0,6.0,0.375,8.0,0.0615384615384615,0.0
"Minha mãe sendo generosa no valor do notebook, isso significa i5, 1TB e 8gb de RAM. Agora a dúvida é dell ou hp.",23.0,4.0,0.1739130434782608,7.0,0.0625,0.0
Finalmente comprei um novo notebook. DELL I7 ❤ SEGUNDA-FEIRA ELE VAI SER MEU!  Muahahaahaja 0 retweet 1 curtiu Responder   Retweetar    Curtir  1,22.0,13.0,0.5909090909090909,34.0,0.2344827586206896,1.0
alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,9.0,0.0,0.0,0.0,0.0,0.0
"Notebook 2-in-1 Dell Inspiron 13 7348 133 Touch Fhd Intel Core I5-5200u  , Compra-Venta » Computadoras - Informática http://www.comerxi.com/notebook-in-dell-inspiron-touch-fhd-intel-core-i-u-ghz-uLima-c8-d201500000004645.html …",22.0,13.0,0.5909090909090909,13.0,0.0572687224669603,0.0
@richelmy @pontofrio alem disso as informações dele estão muito bagunçadas. http://www.pontofrio.com.br/Informatica/Notebook/Notebook-Inspiron-14--5447-A10--Intel-Core-i5-4G-14--Vermelho-Windows-8.1---Dell-5079412.html?recsource=busca-int&rectype=busca-57,17.0,10.0,0.5882352941176471,11.0,0.0431372549019607,0.0
Notebook Dell Latitude E6410 Usado http://fb.me/3Vpyrz3iC,7.0,6.0,0.8571428571428571,7.0,0.1228070175438596,0.0
Aproveite mais essa mega oferta e ainda aproveite para concorrer a muitos premios da MagazineLuiza! http://fb.me/6CZdKTyYZ  0 retweet 1 curtiu Responder   Retweetar    Curtir  1,25.0,6.0,0.24,12.0,0.0677966101694915,0.0
@eddzierrs @murilonist justamente a que eu tava pensando em comprar.. meu notebook (dell) acaba de morrer depois de quase 5 anos de uso,23.0,0.0,0.0,0.0,0.0,0.0
"#GeniosEletronica notebook da dell,como faço para remover http://bit.ly/1I0MLkQ",10.0,2.0,0.2,6.0,0.0759493670886076,0.0
Dica de compra de notebook com placa de vídeo GeForce 920M da Dell http://quenotebookcomprar.com.br/dica-de-compra-de-notebook-com-placa-de-video-geforce-920m-da-dell/ …,17.0,3.0,0.1764705882352941,5.0,0.029585798816568,0.0
"Você acha que a @Dell tem notebooks com uma qualidade superior, você está enganado. #dell #dellLIXO #NÃOCOMPREDELL http://www.reclameaqui.com.br/14295761/dell-computadores-do-brasil/notebook-dell-qualidade-ruim/ …",22.0,4.0,0.1818181818181818,18.0,0.0845070422535211,1.0
Vendo notebook dell 7520SE de alto desempenho. http://riodejaneiro.rioanuncios.com/riodejaneiro/Produtos/Informatica/Vendo-Notebook-Dell-7520Se-De-Alto-Desempenho.html …,12.0,11.0,0.9166666666666666,12.0,0.0710059171597633,0.0
"Dell Inspiron 7000 de 15"" é super fino e vem com Windows 10: O notebook ultrafino da Dell tem 1,9 cm de espess... http://bit.ly/1J9Znds",26.0,5.0,0.1923076923076923,7.0,0.0518518518518518,0.0
alia�a dell notebook servisi http://www.frozen.com.tr/aliaga-dell-notebook-servisi …,9.0,0.0,0.0,0.0,0.0,0.0
