sentence,concept_aptitude_avg_abs,concept_aptitude_sum_abs,concept_attention_avg_abs,concept_attention_sum_abs,concept_pleasantness_avg_abs,concept_pleasantness_sum_abs,concept_polarity_avg_abs,concept_polarity_sum_abs,concept_sensitivity_avg_abs,concept_sensitivity_sum_abs,subjectivity
atendimento deixa a desejar.,0.1536,0.768,0.1906,0.953,0.1227999999999999,0.614,0.1556,0.778,0.0,0.0,1.0
Nem sempre fui bem atendida.,0.125,0.75,0.1633333333333333,0.98,0.1533333333333333,0.92,0.1471666666666666,0.883,0.0,0.0,0.0
Mesmo os não vegetarianos comerão bem.,0.1511428571428571,1.058,0.1704285714285714,1.193,0.1314285714285714,0.92,0.1474285714285714,1.032,0.0104285714285714,0.073,0.0
"Comida de qualidade, com pouco óleo, lembra os restaurantes Adventistas.",0.1271538461538461,1.653,0.1596923076923076,2.076,0.135076923076923,1.756,0.1395384615384615,1.814,0.0096153846153846,0.125,1.0
"Almoçamos em uma sexta feira, fomos em 2 famílias.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A comida estava boa e bem servida.,0.121625,0.973,0.141625,1.133,0.118625,0.949,0.1225,0.98,0.007125,0.057,1.0
O ambiente é amplo com 2 andares e banheiros bastante limpos.,0.0790833333333333,0.949,0.0615,0.738,0.0,0.0,0.0468333333333333,0.562,0.0,0.0,1.0
O atendimento é cordial.,0.1536,0.768,0.1906,0.953,0.1227999999999999,0.614,0.1556,0.778,0.0,0.0,1.0
"O que nos incomodou foi o volume do som da apresentação de um cantor, não permitia conversar em um tom normal, acabou nos irritando.",0.1822222222222222,4.92,0.1159259259259259,3.13,0.1764444444444444,4.764,0.1633333333333333,4.41,0.0346666666666666,0.936,0.0
"O cardápio é bem variado, gostoso, mas o atendimento é muito ruim.",0.1599333333333333,2.399,0.1288666666666666,1.933,0.1467333333333333,2.201,0.1573999999999999,2.361,0.0368666666666666,0.553,1.0
"As garçonetes atendem com um mau humor...parece que estão fazendo um favor, eu mesmo pedi uma tapioca e estou esperando entregarem até hoje!",0.1012592592592592,2.734,0.0692592592592592,1.87,0.1373703703703703,3.709,0.0974814814814814,2.632,0.0153333333333333,0.414,0.0
Precisa melhorar muito o atendimento ou dar um treinamento porque a comida é muito boa e aquelas funcionárias afundam o restaurante.,0.147090909090909,3.236,0.0502727272727272,1.106,0.1646818181818181,3.623,0.1356363636363636,2.9839999999999995,0.0528636363636363,1.1630000000000005,1.0
"Rodízio contém pizzas e massas e além disso tem cardápio, estacionamento não tem.",0.1050666666666666,1.576,0.0866666666666666,1.3,0.0935999999999999,1.404,0.0950666666666666,1.426,0.0,0.0,0.0
Contém também sopas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O restaurante do SENAC é bem situado.,0.09375,0.75,0.1225,0.98,0.12475,0.998,0.113625,0.909,0.0,0.0,1.0
"Ambiente super higienizado, atendimento excelente, os preços são ótimos.",0.15125,1.815,0.1056666666666666,1.2679999999999998,0.1331666666666666,1.598,0.1294166666666666,1.553,0.00175,0.021,1.0
As comidas são excelentes.,0.0378,0.189,0.0154,0.077,0.0406,0.203,0.0312,0.156,0.0,0.0,1.0
"Muito bom..., aconselho!.",0.1097142857142857,0.768,0.0,0.0,0.0844285714285714,0.591,0.091,0.637,0.079,0.553,0.0
"Vale experimentar o tambaqui na brasa, é muito bom!!!",0.0809999999999999,1.053,0.0108461538461538,0.141,0.0476923076923076,0.62,0.0575384615384615,0.748,0.0474615384615384,0.617,1.0
"O restaurante é sem luxo, mas o atendimento é muito bom, com garçons simpáticos.",0.1267647058823529,2.155,0.0560588235294117,0.953,0.1278235294117647,2.173,0.1258235294117647,2.139,0.0668823529411764,1.137,1.0
Muito bom o atendimento.,0.3072,1.536,0.1906,0.953,0.241,1.205,0.283,1.415,0.1106,0.553,1.0
Cardápio variado.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Culinária regional e deliciosa.,0.197,0.985,0.1437999999999999,0.719,0.3865999999999999,1.933,0.2426,1.213,0.0,0.0,0.0
Ambiente agradável.,0.262,0.786,0.2086666666666666,0.626,0.1696666666666666,0.509,0.2133333333333333,0.64,0.0,0.0,1.0
Custo benefício alto.,0.13325,0.533,0.11025,0.441,0.03675,0.147,0.07225,0.289,0.06375,0.255,1.0
So vale a pena em datas especiais.,0.0985,0.788,0.111625,0.893,0.0,0.0,0.07,0.56,0.0,0.0,0.0
Recomendo conhecer.,0.0946666666666666,0.284,0.055,0.165,0.0326666666666666,0.098,0.046,0.138,0.0446666666666666,0.134,0.0
"Lanche em um bairro tradicional e antido de manaus, localizado mas precisamente em uma area rodeada de auto peças.",0.1279523809523809,2.687,0.1293333333333333,2.716,0.1271428571428571,2.67,0.1281428571428571,2.6910000000000003,0.0,0.0,0.0
"O tacacá da Gisela, juntamente com o governo do Estado, promovem todas as quartas o tacacá na bossa que é um evento onde os artistas locais se apresentam no largo.",0.028060606060606,0.926,0.003030303030303,0.1,0.03,0.99,0.0201818181818181,0.6659999999999999,0.0005454545454545,0.018,0.0
Ótima opção para quem está a passeio pela cidade e quer experimentar um tacacá e ouvir boa música.,0.0577894736842105,1.098,0.1026315789473684,1.95,0.141578947368421,2.6900000000000004,0.0985263157894736,1.872,0.0033684210526315,0.064,1.0
"O tacacá não é um dos melhores, mas a música compensa.",0.0545384615384615,0.709,0.0675384615384615,0.878,0.1336923076923077,1.738,0.0852307692307692,1.108,0.0,0.0,0.0
Comida muito boa.,0.24775,0.991,0.03825,0.153,0.155,0.62,0.1835,0.734,0.1525,0.6100000000000001,1.0
"Casa muito linda, grande e elegante.",0.3135,2.508,0.21725,1.738,0.395125,3.161,0.331625,2.6530000000000005,0.069125,0.553,1.0
Buffet variado de pratos quentes e frios.,0.064625,0.517,0.12675,1.014,0.121,0.968,0.104125,0.8330000000000001,0.0,0.0,1.0
"Churrascaria perfeita, Fanatástica!",0.0,0.0,0.0178,0.089,0.0078,0.039,0.007,0.035,0.0046,0.023,1.0
Imperdivel!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Excelente comida, excelente atendimento.",0.4004999999999999,2.403,0.1843333333333333,1.106,0.3675,2.205,0.3111666666666666,1.867,0.0095,0.057,1.0
Pouca tempo de espera se consideramos que era uma data festiva.,0.0761666666666666,0.914,0.1354999999999999,1.626,0.1219166666666666,1.463,0.0988333333333333,1.1860000000000002,0.03175,0.381,1.0
"Eu recomendo o Banzeiro, um lugar perfeito para comer uma comida tipica da região e boa qualidade.",0.1123684210526315,2.135,0.0742631578947368,1.411,0.1021052631578947,1.94,0.0941052631578947,1.788,0.0035263157894736,0.067,1.0
Manaus esta de parabéns!,0.2886,1.443,0.379,1.895,0.3574,1.787,0.3418,1.709,0.0,0.0,0.0
"Ótimo lugar para ir comemorar aniversarios, confraternizações e tudo mais.",0.0976666666666666,1.1720000000000002,0.1637499999999999,1.965,0.1393333333333333,1.6720000000000002,0.1313333333333333,1.576,0.00675,0.081,0.0
O preço é mais salgado mas é justo.,0.1241111111111111,1.117,0.026,0.234,0.0851111111111111,0.766,0.0746666666666666,0.6719999999999999,0.0,0.0,1.0
Ambiente bem amplo.,0.4247499999999999,1.6989999999999998,0.4295,1.718,0.23,0.92,0.36125,1.445,0.0,0.0,1.0
Atendimento muito eficaz!,0.5545,2.218,0.40575,1.623,0.5467500000000001,2.1870000000000003,0.54825,2.193,0.13825,0.553,1.0
Recomendo!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Variação no cardipio 100% regional, comida quentinha e muito saborosa, tambaqui assado sem espinha juntamente com a farofa de castanha e aquele suco de cupuaçu, melhor degustação que já tive.",0.1059142857142857,3.707,0.0664,2.324,0.1229428571428571,4.303,0.1151714285714285,4.031000000000001,0.0621142857142857,2.1740000000000004,1.0
"Sim, em Manaus tem opções todos os dias da semana, e no Armando começa na segunda feira!!!",0.0743636363636363,1.636,0.0295454545454545,0.65,0.0775909090909091,1.707,0.065,1.43,0.0134545454545454,0.296,0.0
"Tem música ao vivo, bolinho de bacalhau, bebidas geladas, bom atendimento, gente de todas as partes do mundo!!!",0.17288,4.322,0.22116,5.529,0.2136799999999999,5.342,0.21376,5.344,0.0384,0.96,1.0
"É sem sombra de dúvidas um dos melhores bares da cidade, sem frescura!!!",0.2470588235294117,4.2,0.0918235294117647,1.561,0.2655294117647059,4.514,0.2391764705882353,4.066,0.1129411764705882,1.92,0.0
A melhor coisa dessa padaria é a possibilidade de montar seu próprio sanduíche com as opções da casa.,0.1185263157894736,2.252,0.0832631578947368,1.582,0.0933157894736842,1.773,0.0945263157894736,1.796,0.0117368421052631,0.223,0.0
"Apesar de não ser um lanche pra matar a fome (ainda mais porque não é tão barato assim), é uma ótima opção para acompanhar um cafezinho.",0.1497666666666666,4.492999999999999,0.0724666666666666,2.1740000000000004,0.1546,4.638,0.1438666666666666,4.316,0.0613333333333333,1.84,1.0
"Cafezinho esse que aliás, é muito bom.",0.0853333333333333,0.768,0.0,0.0,0.0656666666666666,0.591,0.0707777777777777,0.637,0.0614444444444444,0.553,1.0
"O lugar é adoravel, oferece um excelente serviço e o lugar perfeito para um jantarzinho a dois... Para quem gosta de massa este é um ótimo restaurante...",0.1222,3.666,0.045,1.35,0.1573,4.719,0.1057333333333333,3.172,0.0039666666666666,0.119,1.0
"Um lugar aconchegante, seguro, tem estacionamento, atendimento é bom, os preços são moderados, cardápio variado, sopas, vale a pena conhecer.",0.1381071428571428,3.867,0.1144642857142857,3.205,0.0948571428571428,2.656,0.1128571428571428,3.16,0.0087499999999999,0.245,1.0
A melhor peixaria da cidade!,0.0893333333333333,0.536,0.0375,0.225,0.0225,0.135,0.043,0.258,0.0206666666666666,0.124,1.0
"Ambiente agradável e culinária apurada, tendo como principais ingredientes os belos peixes de água doce da região.",0.1366315789473684,2.5960000000000005,0.1619473684210526,3.0769999999999995,0.1708421052631578,3.246,0.1526842105263157,2.901,0.0032105263157894,0.061,1.0
"O preço é um pouco acima da média, mas vale cada centavo que custa.",0.1108125,1.773,0.0180625,0.289,0.1170625,1.873,0.0802499999999999,1.2839999999999998,0.0050625,0.081,1.0
Recomendo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comemos um prato Camarões Beira mar!,0.1122857142857142,0.7859999999999999,0.0,0.0,0.1414285714285714,0.99,0.0877142857142857,0.614,0.0094285714285714,0.066,0.0
"É excepcional, mas poderia vim um pouco mais...",0.1246999999999999,1.247,0.0186,0.186,0.1055,1.055,0.0769,0.7689999999999999,0.0179,0.179,0.0
Serve três pessoas.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vem como acompanhamento batata cozida e arroz com brócolis!,0.0858,0.858,0.0064,0.064,0.1036,1.036,0.0826,0.8260000000000001,0.0619,0.619,0.0
Coco Bambu sempre tem fila!,0.1313333333333333,0.788,0.1083333333333333,0.65,0.1169999999999999,0.702,0.1188333333333333,0.713,0.0,0.0,0.0
É bom ligar antes para fazer a reserva.,0.112,1.008,0.0975555555555555,0.878,0.1195555555555555,1.076,0.103,0.927,0.0061111111111111,0.055,0.0
Ligue o quanto antes porque o horário para agendar reserva é limitado.,0.1247692307692307,1.622,0.043076923076923,0.56,0.1337692307692307,1.739,0.0989230769230769,1.286,0.0038461538461538,0.05,1.0
"Hamburgueria artesanal com tempero diferenciado, de primeira qualidade, fora o atendimento no qual diferencia por serem bilíngues,.",0.1573809523809523,3.305,0.1369523809523809,2.876,0.1545238095238095,3.245,0.1646190476190476,3.4570000000000003,0.0449047619047619,0.943,1.0
Recomendo quem quer saciar a fome..,0.2368571428571428,1.658,0.1088571428571428,0.762,0.2401428571428571,1.681,0.2392857142857143,1.675,0.132,0.924,0.0
"Os pratos são bem servidos, por isso atenção, o pedido para uma pessoa geralmente vem com dois filés ou postas, dependendo do seu apetite e do seu bolso...peça o que lhe for melhor.",0.0586153846153846,2.286,0.0352307692307692,1.374,0.0322564102564102,1.258,0.0493076923076923,1.923,0.0281538461538461,1.098,1.0
Uma excelente descoberta que fiz em terras manauaras ao localizar este simpático restaurante de peixe amazônico próximo ao hotel em que estive hospedado (Blue Tree Premium).,0.0564827586206896,1.638,0.040103448275862,1.163,0.0662068965517241,1.92,0.0521724137931034,1.5130000000000003,0.0032413793103448,0.094,1.0
Como já disse o cardápio principal é de peixe amazônico.,0.0626363636363636,0.6890000000000001,0.1051818181818181,1.157,0.0808181818181818,0.889,0.0773636363636363,0.851,0.0077272727272727,0.085,0.0
Experimentei o 'Tambaqui na Telha'.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
No jantar em que estive havia música ao vivo com um ótimo cantor de MPB.,0.093125,1.49,0.128,2.048,0.1712499999999999,2.74,0.1295625,2.073,0.00375,0.06,0.0
"Local agradável, vale a visita e excelente custo benefício (1 prato serve 3).",0.1243529411764705,2.114,0.0694705882352941,1.181,0.0881176470588235,1.498,0.0891764705882353,1.516,0.0222941176470588,0.379,1.0
"ótimo restaurante e ótimo atendimento, fomos atendidos pelo sr. Pedro Jacks muito atencioso, gostei de mais.",0.1080526315789473,2.053,0.1013684210526315,1.926,0.1117368421052631,2.123,0.1167368421052631,2.218,0.0291052631578947,0.553,1.0
"Excelente peixe, para quem esta localizado no Distrito Industrial, excelente pedida para almoço.",0.0989999999999999,1.584,0.0115,0.184,0.1006875,1.6110000000000002,0.0666249999999999,1.0659999999999998,0.0053125,0.085,1.0
dica Matrinxã recheada.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
É um restaurante executivo com buffet gostoso e serviço a la carte bem no centrinho da cidade mas é bem pequeno.,0.1881818181818181,4.14,0.1326818181818181,2.919,0.2193636363636364,4.8260000000000005,0.1767272727272727,3.888,0.0054090909090909,0.119,1.0
Funciona para almoço e jantar.,0.0136666666666666,0.082,0.0108333333333333,0.065,0.0225,0.135,0.0156666666666666,0.094,0.0,0.0,0.0
Nota 10 restaurante com comidas típicas e variadas para todos gostos atendimento nota mil super recomendo fantástico voltaria com certeza!!!,0.039695652173913,0.913,0.1133043478260869,2.606,0.0720869565217391,1.658,0.0776086956521739,1.785,0.0078260869565217,0.18,1.0
"Comparativamente ao Coco Bambu de Brasília, achei os pratos melhores servidos de camarão.",0.0689333333333333,1.034,0.1297333333333333,1.946,0.112,1.68,0.1036,1.554,0.0,0.0,0.0
"Lugar novo , dentro do shopping Ponta Negra.",0.133,1.197,0.1115555555555555,1.004,0.0052222222222222,0.047,0.0793333333333333,0.7140000000000001,0.0118888888888888,0.107,1.0
Serviço bom.,0.0613333333333333,0.184,0.0656666666666666,0.197,0.0166666666666666,0.05,0.0236666666666666,0.071,0.0396666666666666,0.119,1.0
Som ao vivo agradavel.,0.0768,0.384,0.046,0.23,0.0098,0.049,0.0402,0.201,0.012,0.06,1.0
Pratos dão até para três pessoas.,0.0798571428571428,0.559,0.1291428571428571,0.904,0.127,0.889,0.112,0.784,0.0,0.0,0.0
"Muito bom, recomendo atendimento 100% Agradeço o Ricardo José pelo excelente atendimento e o prato de camarão show!!!",0.1921739130434782,4.42,0.1264782608695652,2.909,0.1881304347826086,4.327,0.1779130434782609,4.0920000000000005,0.0269130434782608,0.619,1.0
"O atendimento foi ótimo, a entrada (banana pacová com patê de algum peixe) foi uma delícia e o tambaqui, em si, um espetáculo!",0.0746896551724137,2.166,0.0727586206896551,2.11,0.1103103448275862,3.199,0.092551724137931,2.684,0.0291379310344827,0.845,1.0
Recomendo!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O preço também é ótimo!,0.0096666666666666,0.058,0.0273333333333333,0.164,0.0,0.0,0.0123333333333333,0.074,0.0,0.0,1.0
Comida regional chique demais.,0.0768,0.384,0.052,0.26,0.0202,0.1009999999999999,0.039,0.195,0.0208,0.104,1.0
Ambiente frequentado pela elite de Manaus.,0.0738571428571428,0.517,0.1389999999999999,0.973,0.12,0.84,0.111,0.777,0.0,0.0,0.0
